Name,Details
"Nestle Cerelac Baby Cereal with Milk, 5 Grains & Fruits, Stage 5, From 18 to 24 Months, Source of Iron & Protein",Manufacturer Name : Nestle India Limited
"Nestle Cerelac Baby Cereal with Milk, 5 Grains & Fruits, Stage 5, From 18 to 24 Months, Source of Iron & Protein","Manufacturer Address : Nestle India Limited, 100/101, World Trade Centre, Barakhamba Lane, New Delhi"
"Nestle Cerelac Baby Cereal with Milk, 5 Grains & Fruits, Stage 5, From 18 to 24 Months, Source of Iron & Protein","Nutritional Info : Composition per 100g
Energy - 413 kcal
Protein- 15g
Carbohydrate - 68.1g
Total Sugars- 22.5g
Total Fat- 9.4g
Cholesterol - 14mg"
Prasuma Momos Cheesy Spicy Veg,"Description : Prasuma Momos are crafted from fresh, high-quality ingredients, encased in a delicate thin wrapper. These bite-sized treats are full of flavour and easy to prepare."
Prasuma Momos Cheesy Spicy Veg,Country of Origin : India
Prasuma Momos Cheesy Spicy Veg,Shelf Life : 12 months
Prasuma Momos Cheesy Spicy Veg,FSSAI License : FSSAI No 10012064000136
Prasuma Momos Cheesy Spicy Veg,"Ingredients : Cabbage, Refined Wheat Flour, Water, Spices & Condiments, Emulsifier (Ins 450, 451), Anti-oxidant (Ins 300), Colour Fixative (Ins 250)"
Prasuma Momos Cheesy Spicy Veg,Manufacturer Name : Ample Foods Pvt. Ltd
Prasuma Momos Cheesy Spicy Veg,"Manufacturer Address : Ample Foods Pvt. Ltd, Plot No. 127, Sector 6, IMT Manesar, Gurugram, Haryana - 122002"
MAGGI 2- Minute Instant Masala Noodles,Description : MAGGI 2-Minute instant masala noodles is a favorite among people of all ages. Maggi masala instant noodles now come with the goodness of iron. Each portion (70g) of maggi masala noodles provides you with 15% of your daily iron requirement. It is just the perfect choice for those who need a quick and satisfying meal. Maggi instant noodles are made with the choicest quality spices and ingredients to provide a great taste and experience.
MAGGI 2- Minute Instant Masala Noodles,Country of Origin : India
MAGGI 2- Minute Instant Masala Noodles,Shelf Life : 9 months
MAGGI 2- Minute Instant Masala Noodles,"Ingredients : NOODLES: Refined wheat flour (Maida), Palm oil, Iodized salt, Wheat gluten, Thickeners (508 & 412), Acidity regulators (501(i) & 500(i)) & Humectant (451(i)). MASALA TASTEMAKER: Mixed spices (25.6%) (Onion powder, Coriander powder, Turmeric powder, Red chili powder, Garlic powder, Cumin powder, Aniseed powder, Ginger powder, Fenugreek powder, Black pepper powder, Clove powder, Green cardamom powder & Nutmeg powder), Refined wheat flour (Maida), Hydrolysed groundnut protein, Sugar, Palm oil, Starch, Iodized salt, Thickener (508), Flavor enhancer (635), Toasted onion flakes, Acidity regulator (330), Colour (150d), Mineral and Wheat gluten. Allergen Note: Contains Wheat & Nut. May contain Milk, Mustard, Oats and Soy."
MAGGI 2- Minute Instant Masala Noodles,Manufacturer Name : Nestle India Ltd
MAGGI 2- Minute Instant Masala Noodles,"Manufacturer Address : Nestle India Ltd, Nestle House, Jacaranda Marg M Block, DLF City Phase II, National Highway 8, Gurgaon 122 002, India."
Mother's Recipe Mixed Pickle,Description : Mothers Recipe Pickle - Lime (South Indian Style) is the flavorful mix of lime with zesty flavours. The pickles are prepared by using superiority of ingredients. It will make the pickles more flavour.
Mother's Recipe Mixed Pickle,Country of Origin : India
Mother's Recipe Mixed Pickle,Shelf Life : 18 months
Mother's Recipe Mixed Pickle,"Ingredients : Lime Pieces, Edible Common Salt, Lime Juice, Edible Vegetable Oil, Chilli Powder, Spices & Condiments, Acidity Regulator(Ins-260) & Asafoetida."
Mother's Recipe Mixed Pickle,Manufacturer Name : Desai Foods Pvt Ltd
Mother's Recipe Mixed Pickle,"Manufacturer Address : Desai Foods Pvt Ltd, 3rd Floor, Atur Chambers, 2A Moledina Road-411001, Pune, Maharashtra, India."
Mother's Recipe Mixed Pickle,Nutritional Info : Nutritional Values per 100 gEnergy (kcal) - 131Protein (g) - 1Carbohydrates (g) - 9Fat (g) - 10
"Whiskas Adult Ocean Fish, Dry Cat Food","Description : A wholesome wet and dry meal combo for your adult cat, Whiskas Adult Combo contains Whiskas dry Ocean fish, 3 kg (1 pack) & wet tuna in jelly, 85 gm (6 pouches). Whiskas Adult Cat Food is the nutrition that your cat needs for a healthy and active lifestyle. Whiskas dry cat food helps support the cat's vital system by providing it with a healthy and shiny coat, healthy eyesight, and energy to be lively and active. On the other hand, Whiskas Adult Gravy Food provides complete nutrition for your adult pet cat along with lots of moisture."
"Whiskas Adult Ocean Fish, Dry Cat Food",Country of Origin : Thailand
"Whiskas Adult Ocean Fish, Dry Cat Food",Shelf Life : 18 months
"Whiskas Adult Ocean Fish, Dry Cat Food","Ingredients : Wholegrain Cereals (Corn, Rice, Wheat), Corn Gluten Meal, Poultry & Poultry By-products, Soy Bean Products (Full-fat Soy Bean, Soy Bean Meal), Palm Stearin, Ocean Fish, Wheat Flour, Minerals, Iodised Salt, Vitamins, Taurine, Soy Oil, Methionine, Food Colouring, Preservatives, Flavour."
"Whiskas Adult Ocean Fish, Dry Cat Food",Manufacturer Name : Mars INT (Pet Food)
MTR Rava Idli Instant Mix,"Description : MTR Rava Idli instant mix is a blend of the finest ingredients like curry leaves, chilli, ginger, cashewnut etc. for a healthy and wholesome breakfast. A delicious, traditional breakfast, ready in an instant. Bring home this signature dish with an authentic South Indian taste to be relished within minutes."
MTR Rava Idli Instant Mix,Country of Origin : India
MTR Rava Idli Instant Mix,Shelf Life : 12 months
MTR Rava Idli Instant Mix,"Ingredients : Semolina (84%), Edible Vegetable Fat, Bengal Gram Dal, Cashew Nut, Salt, Curry Leaves, Raising Agent (INS 500 ii), Mustard, Green Chilli, Ginger and Anti Caking Agent (INS 551)"
